asset_name,asset_path,layer,row_count,age_hours,freshness_status,owner
kpi_summary.csv,data/exports/kpi_summary.csv,export,16,955.76,STALE,BI Engineering
model_monitoring_summary.csv,data/exports/model_monitoring_summary.csv,export,13,766.13,STALE,BI Engineering
next_best_actions.csv,data/exports/next_best_actions.csv,export,250000,766.13,STALE,BI Engineering
stakeholder_insights.csv,data/exports/stakeholder_insights.csv,export,11,955.76,STALE,BI Engineering
validation_results.csv,data/exports/validation_results.csv,export,25,766.13,STALE,BI Engineering
dim_category.csv,data/marts/dim_category.csv,mart,32,955.77,STALE,BI Engineering
dim_channel.csv,data/marts/dim_channel.csv,mart,13,955.77,STALE,BI Engineering
dim_customer.csv,data/marts/dim_customer.csv,mart,250000,955.77,STALE,BI Engineering
dim_date.csv,data/marts/dim_date.csv,mart,1096,955.77,STALE,BI Engineering
dim_device.csv,data/marts/dim_device.csv,mart,3,955.77,STALE,BI Engineering
dim_product.csv,data/marts/dim_product.csv,mart,1500,955.77,STALE,BI Engineering
dim_region.csv,data/marts/dim_region.csv,mart,10,955.77,STALE,BI Engineering
fact_cohort_retention.csv,data/marts/fact_cohort_retention.csv,mart,390,955.77,STALE,BI Engineering
fact_customer_value.csv,data/marts/fact_customer_value.csv,mart,250000,955.77,STALE,BI Engineering
fact_engagement.csv,data/marts/fact_engagement.csv,mart,250000,955.77,STALE,BI Engineering
fact_orders.csv,data/marts/fact_orders.csv,mart,1050000,955.77,STALE,BI Engineering
fact_returns.csv,data/marts/fact_returns.csv,mart,182118,955.77,STALE,BI Engineering
fact_sessions.csv,data/marts/fact_sessions.csv,mart,850000,955.77,STALE,BI Engineering
mart_category_profitability.csv,data/marts/mart_category_profitability.csv,mart,8,955.76,STALE,BI Engineering
mart_churn_risk.csv,data/marts/mart_churn_risk.csv,mart,250000,955.77,STALE,BI Engineering
mart_clv.csv,data/marts/mart_clv.csv,mart,250000,955.76,STALE,BI Engineering
mart_cohort_retention.csv,data/marts/mart_cohort_retention.csv,mart,390,955.77,STALE,BI Engineering
mart_customer_overview.csv,data/marts/mart_customer_overview.csv,mart,250000,955.77,STALE,BI Engineering
mart_customer_segments.csv,data/marts/mart_customer_segments.csv,mart,250000,955.77,STALE,BI Engineering
mart_product_affinity.csv,data/marts/mart_product_affinity.csv,mart,56,955.76,STALE,BI Engineering
mart_product_profitability.csv,data/marts/mart_product_profitability.csv,mart,1500,955.77,STALE,BI Engineering
mart_retention_drivers.csv,data/marts/mart_retention_drivers.csv,mart,100,955.76,STALE,BI Engineering
mart_retention_lifecycle.csv,data/marts/mart_retention_lifecycle.csv,mart,250000,766.13,STALE,BI Engineering
mart_rfm_segments.csv,data/marts/mart_rfm_segments.csv,mart,250000,955.77,STALE,BI Engineering
